,X,Y,Z,"relatedness(Y,Z)","relatedness(X,Z)",surprisal(Z),ambiguity(Z),"dissimilarity(x,y)",Score
798,boys,thing,bad,8.890480843285283e-05,5.355711351376677e-06,0.009339334882439432,0.9844757711371449,0.1752718600777917,7.794182254906711e-13
2687,boys,football,High,1.3879785062463421e-05,1.1277325363251531e-05,0.007563652163201076,0.7530035931364626,0.6579729322469915,7.789838027700735e-13
2782,boys,town,big,1.2032412788819793e-05,1.905132024896467e-05,0.008742593117411726,0.9215721686118714,0.38810862474037344,7.778061284707899e-13
169,boys,town,small,0.00015205446620694012,2.3758510344834394e-06,0.006905048643733505,0.9518343976592648,0.30653478857977406,7.646538859572785e-13
3072,boys,leagues,big,1.8012468143405602e-05,2.0131582042629792e-05,0.00923832198023491,0.9738278228577034,0.22709915038477174,7.607811351517859e-13
2830,boys,heart,big,2.691198280318323e-05,2.0453106930419257e-05,0.009385868776694724,0.9893809910492322,0.14504192109580366,7.493298045176155e-13
3028,boys,fat,big,1.3466479871193102e-05,1.9681778273282226e-05,0.0090319083938433,0.9520694024568938,0.3057487153978246,7.319182670574233e-13
2908,boys,picture,big,5.9723690923731616e-05,2.0631820500925465e-05,0.009467879892516505,0.9980259274935046,0.06208545166526093,7.243138253092797e-13
2907,boys,names,big,4.226839215343155e-05,2.059229361321024e-05,0.009449741123550579,0.996113887847214,0.08756610428668317,7.202385950939727e-13
2911,boys,hits,big,1.3505327936677774e-05,1.9738556215144438e-05,0.009057963619269074,0.9548159297488342,0.2970597465509872,7.172901966060387e-13
2905,boys,league,big,9.795564217419181e-06,1.5509643344247037e-05,0.007117328320712761,0.7502501382774863,0.6611157790551407,7.148678898247603e-13
2966,boys,screen,big,7.389397575057523e-05,2.0646846165601903e-05,0.009474775124493505,0.9987527660642567,0.049021781166380084,7.086319897841636e-13
3049,boys,corporations,big,2.2540730267897698e-05,2.039399405190744e-05,0.009358742055917676,0.9865215155414399,0.16336374260205924,7.028188843870543e-13
3286,boys,life,young,8.158559765644417e-06,2.196535321519651e-05,0.005471909892846221,0.7004044662843163,0.7137251860920054,6.998768851935801e-13
2799,boys,hit,big,6.844926840606759e-05,2.0643430154210857e-05,0.009473207527220136,0.9985875228693227,0.05228013386939907,6.998168825057049e-13
2788,boys,party,big,9.261574166212073e-06,1.759699091580294e-05,0.008075205794517886,0.8512216931632971,0.5247441469365379,6.905965761279339e-13
2870,boys,difference,big,0.00010003284557871272,2.0658957239081974e-05,0.009480332859404665,0.9993386167090094,0.03510615344403215,6.877931599540164e-13
2997,boys,shoes,big,2.035096273096795e-05,2.035096273096795e-05,0.009338995113167126,0.9844399554585582,0.17547295073231323,6.787037444953665e-13
2820,boys,oil,big,1.1368564820124789e-05,1.2706043034257117e-05,0.005830764636213086,0.6146311898878736,0.788793066849656,6.643616576886162e-13
650,boys,or,black,3.0082983267823385e-05,5.231823177012762e-06,0.011404122041433058,0.9289175771930928,0.3701109020953328,6.643052640568981e-13
2891,boys,advantage,big,9.325850110164119e-06,1.4765929341093188e-05,0.006776040218873787,0.7142743571895193,0.6998329998188476,6.530096650209227e-13
2802,boys,deal,big,0.00018710444494921634,2.066851426764599e-05,0.009484718550845195,0.9998009201832112,0.01755348055385937,6.438445955943694e-13
2990,boys,smile,big,2.808867937440697e-05,2.052634261975894e-05,0.00941947641255423,0.9929236312527754,0.11838046609813334,6.429092925068802e-13
2879,boys,plays,big,5.320948276706511e-05,2.063224841988239e-05,0.00946807626322881,0.9980466272768251,0.061751777758126604,6.418696008775069e-13
3287,boys,season,young,7.0943991573044885e-06,2.7589330056184125e-05,0.006872929681230391,0.8797349991974901,0.4754146539738623,6.395451933712572e-13
2935,boys,shots,big,8.490659866251994e-06,1.6132253745878785e-05,0.0074030423468800805,0.7803677579770062,0.6252770241593801,6.340437010660559e-13
2914,boys,box,big,3.138510907969968e-05,2.0562657672906685e-05,0.009436141280372259,0.994680304378064,0.10257704378783167,6.246654720112213e-13
2961,boys,boost,big,8.51820691944641e-06,1.7982881274386865e-05,0.008252289710432572,0.8698884212408922,0.49317951489251793,6.234289387778924e-13
2947,boys,ticket,big,8.335033846977613e-06,1.759618256584163e-05,0.008074834845170763,0.8511825907380004,0.5248075779632672,6.215263891195857e-13
3050,boys,supporter,big,8.362282064996682e-06,1.5888335923493694e-05,0.007291109197506149,0.768568687172413,0.6397257322496702,6.197130599185975e-13
2804,boys,budget,big,9.86652589669324e-06,1.3390285145512253e-05,0.0061447612671199385,0.6477301288634665,0.7618450772925155,6.184801502430481e-13
3301,boys,lives,young,1.1323963536244191e-05,3.0487594136042056e-05,0.007594932179222709,0.9721513189405068,0.23423093098414782,6.141716436827189e-13
3315,boys,workers,young,8.469698381784889e-06,2.9643944336247112e-05,0.00738476593967406,0.9452500402782796,0.3262634298161959,6.049354926669906e-13
3074,boys,bucks,big,3.1396365846080605e-05,2.0570032795707984e-05,0.009439525701871666,0.9950370622208251,0.09905624035170847,6.038740661861607e-13
