,X,Y,Z,"relatedness(Y,Z)","relatedness(X,Z)",surprisal(Z),ambiguity(Z),"dissimilarity(x,y)",Score
2556,relationship,relations,good,3.6816161188937694e-05,5.122248513243505e-05,0.014291552648060264,0.9263043383002022,0.37650500712468593,1.0147272366717605e-11
4268,relationship,alternative,better,3.602700547503175e-05,2.0586860271446705e-05,0.022975706599704694,0.8041497309896642,0.5939825968273237,1.0121872904206096e-11
4057,relationship,proximity,close,0.00016318955839078432,6.3856783718133e-05,0.021116017984482083,0.9987305803471257,0.04573085343017246,1.0062843935015036e-11
4041,relationship,Archive,close,9.440781456732331e-05,6.372527483294323e-05,0.02107253092135275,0.9966737597937113,0.07872326216240069,9.980204573580356e-12
4069,relationship,Who,close,7.063582762399977e-05,6.357224486159981e-05,0.021021927313734243,0.994280345919863,0.10471228800214095,9.88468342648701e-12
1710,relationship,education,good,3.084706622641484e-05,4.1129421635219786e-05,0.011475493490100195,0.743781985469457,0.6683237751996411,9.730266840620696e-12
3891,relationship,space,open,0.00024087194350587673,6.56923482288755e-06,0.01955069850511281,0.9503811773318727,0.3104727522646679,9.604765658495118e-12
4068,relationship,Do,close,4.437427180053467e-05,6.305817571654927e-05,0.020851936082104578,0.9862402200995409,0.16399822887527649,9.568815578003347e-12
4455,relationship,world,better,5.909282476144241e-05,2.4881189373238903e-05,0.02776833860790831,0.9718918512767909,0.23378439785771252,9.544898357723213e-12
4020,relationship,Langley,close,3.469864189719932e-05,6.245755541495879e-05,0.02065332430819796,0.9768464199823361,0.2129424965988984,9.531247891934233e-12
4092,relationship,friend,close,0.00014187845946388628,6.384530675874882e-05,0.021112222809300175,0.9985510788182517,0.04949740228775419,9.465897767482562e-12
2473,relationship,part,good,3.083111020146558e-05,4.932977632234491e-05,0.013763469179698392,0.8920767060915623,0.4516743450551334,9.454784792405498e-12
2498,relationship,working,good,3.099108810999388e-05,4.9585740975990195e-05,0.013834885713163256,0.8967055554828035,0.4424112784326222,9.405792595766649e-12
1519,relationship,side,good,3.134328032043949e-05,3.857634500977167e-05,0.01076316122209746,0.6976123014322427,0.7163946040977565,9.323042752259688e-12
4014,relationship,There,close,2.7376237929199526e-05,6.159653534069893e-05,0.020368604121642302,0.9633799246722712,0.2673653608098724,9.183251098086234e-12
4070,relationship,Phone,close,2.9907853659806997e-05,6.211631144729145e-05,0.020540482518511746,0.9715093083079881,0.23610960949509305,9.009801235090963e-12
4438,relationship,sense,better,3.867576375839277e-05,2.380047000516477e-05,0.026562215343355514,0.929677537017443,0.3674154648609081,8.983512113081457e-12
4034,relationship,Nothing,close,2.7474614143523158e-05,6.18178818229271e-05,0.02044179847981986,0.9668418199914801,0.25455652302419585,8.837899420112765e-12
4039,relationship,Slough,close,2.7474614143523158e-05,6.18178818229271e-05,0.02044179847981986,0.9668418199914801,0.25455652302419585,8.837899420112765e-12
2706,relationship,range,good,3.206354453512425e-05,5.130167125619879e-05,0.01431364631754622,0.9277363353965141,0.3729616707574796,8.78127398073497e-12
2922,relationship,teams,good,4.707725926022279e-05,5.380258201168318e-05,0.015011423819705575,0.9729626549809168,0.23047412882231344,8.763111912204063e-12
4447,relationship,experience,better,3.9015379383314184e-05,2.4009464235885644e-05,0.026795460727195502,0.9378411254518425,0.3460289360689139,8.685442501743397e-12
4245,relationship,service,better,3.1415962805071594e-05,1.9332900187736354e-05,0.021576240212349378,0.7551684074322282,0.6551756565333051,8.585802694165557e-12
3042,relationship,quality,good,9.969735431418142e-05,5.5005436862996644e-05,0.015347031578506714,0.9947150097180276,0.10152095891111358,8.544159552936624e-12
4483,relationship,time,better,0.00014347452610784952,2.5506582419173243e-05,0.02846630065473932,0.9963205229158762,0.08083974337009878,8.42137543698688e-12
3823,relationship,aide,close,1.6281901716373213e-05,5.4951418292759604e-05,0.018171211723793896,0.859449203152414,0.5108981023456741,8.306196730608542e-12
3879,relationship,encounter,close,1.6593134482239094e-05,5.600182887755696e-05,0.018518559139498028,0.8758777971384204,0.4821775026230569,8.297452583813758e-12
3892,relationship,Special,close,1.6772134947117247e-05,5.660595544652072e-05,0.01871833035803373,0.8853264358529468,0.46459307205659767,8.256392115787098e-12
3901,relationship,Royal,close,1.6836578995799553e-05,5.6823454110823504e-05,0.018790252328411864,0.8887281506681288,0.45804933917108426,8.23429373089726e-12
4145,relationship,friends,close,0.0001916753198831343,6.389177329437809e-05,0.021127588259059676,0.9992778230636334,0.03158190187393018,8.171454054735391e-12
2731,relationship,points,good,2.8551895738432993e-05,5.075892575721421e-05,0.014162215244782353,0.9179213584581153,0.39650953072289374,8.138271848200656e-12
2915,relationship,music,good,3.458046439284556e-05,5.269404097957418e-05,0.014702130498970366,0.952915865674005,0.3028781872850575,8.114104504135498e-12
4144,relationship,look,close,6.363730990628073e-05,6.363730990628073e-05,0.021043442876743305,0.9952979739000213,0.0945468590858084,8.057262756528002e-12
4067,relationship,Bringing,close,2.0105536472754076e-05,6.0316609418262236e-05,0.019945361088979142,0.9433616731273919,0.33116601909464083,8.010142771774966e-12
1830,relationship,Over,close,2.800041047454593e-05,3.150046178386417e-05,0.01041650203498558,0.4926723935466153,0.8701525195884352,7.994634317507345e-12
2938,relationship,guys,good,3.465674947041282e-05,5.281028490729573e-05,0.014734563642515715,0.9550180138667591,0.2961815015058147,7.987328508694937e-12
4329,relationship,relations,better,2.8117009528306785e-05,2.044873420240493e-05,0.02282155273679263,0.798754345787742,0.6012243097273773,7.888915060603947e-12
1850,relationship,point,good,2.526070975058245e-05,4.041713560093191e-05,0.0112767590215717,0.7309010476944618,0.6823902775636967,7.85648364250214e-12
2249,relationship,defense,good,2.3680426234555013e-05,4.457491997092708e-05,0.012436819765782672,0.8060901700044323,0.591662032573202,7.767175694014247e-12
3018,relationship,portion,good,3.666717558033446e-05,5.3334073571395566e-05,0.014880705580964926,0.9644901765440228,0.2636991842279514,7.673871528994824e-12
3278,relationship,way,good,0.00021752652703714047,5.524483226340074e-05,0.015413825135276418,0.9990442217308788,0.0409024039765422,7.576404387130593e-12
4054,relationship,COLUMN,close,1.7616829093429997e-05,5.945679819032626e-05,0.019661040641013955,0.9299140843722816,0.36725091602541976,7.563079195363203e-12
4061,relationship,Messenger,close,1.7616829093429997e-05,5.945679819032626e-05,0.019661040641013955,0.9299140843722816,0.36725091602541976,7.563079195363203e-12
4056,relationship,Homepage,close,1.7616829093429997e-05,5.945679819032626e-05,0.019661040641013955,0.9299140843722816,0.36725091602541976,7.563079195363203e-12
2995,relationship,form,good,3.3042420372249115e-05,5.2867872595598575e-05,0.014750631146408434,0.9560594261561022,0.29280161996142345,7.54480057940339e-12
3262,relationship,reasons,good,6.152984132016466e-05,5.4693192284590803e-05,0.015259912419414358,0.9890683975546342,0.14666571942479678,7.531816414624378e-12
3285,relationship,or,good,0.00013448530312200557,5.5173457691079205e-05,0.015393910961736638,0.997753488260708,0.0651995631770972,7.447297177960979e-12
4381,relationship,terms,better,2.64757370629399e-05,2.1180589650351912e-05,0.023638330809005372,0.827341578315188,0.5612015154629535,7.439123127946783e-12
2800,relationship,service,good,2.5034872688306874e-05,5.0069745376613734e-05,0.013969927469835544,0.9054582619337852,0.42420534401232174,7.428327739965305e-12
3256,relationship,value,good,4.751384219913446e-05,5.430153394186794e-05,0.015150636076991615,0.9819856716568638,0.18834700337637197,7.362441047170551e-12
3021,relationship,player,good,3.1301286420305365e-05,5.271795607630377e-05,0.014708803034734897,0.9533483448439283,0.3015138151688479,7.318217266427045e-12
3903,relationship,ranks,close,1.429053606917576e-05,5.512063912396363e-05,0.018227169288628758,0.8620958447324414,0.5064173393084778,7.2709399748566095e-12
3897,relationship,links,close,1.425816774191712e-05,5.499578986168031e-05,0.018185884414662026,0.8601431817745554,0.5097283366921721,7.2688610576431904e-12
3956,relationship,friendship,close,1.4657444129516537e-05,5.65358559281352e-05,0.018695150006554303,0.8842300678775685,0.4666772707303404,7.229825621724919e-12
3874,relationship,competition,close,1.3995275463586981e-05,5.39817767881212e-05,0.01785057284632048,0.8442838508394823,0.5355988546952027,7.223046710291906e-12
3861,relationship,knit,close,1.3970452131981026e-05,5.388602965192681e-05,0.01781891139812153,0.8427863499111534,0.5379532058656619,7.2162623824531335e-12
2966,relationship,season,good,2.7545441307021614e-05,5.185024246027597e-05,0.014466702816542878,0.9376566640351863,0.34726170455842736,7.1750838197122434e-12
4477,relationship,communication,better,3.319380827739545e-05,2.414095147446941e-05,0.026942205406834487,0.9429771892392069,0.33176518270868344,7.162677772309221e-12
4017,relationship,partnership,close,1.5000483508150246e-05,5.7859007817150935e-05,0.01913268690487328,0.9049243806358985,0.4251420963041136,7.0597011022661054e-12
4058,relationship,Display,close,1.510603267389598e-05,5.8266126027884486e-05,0.01926731184147526,0.911291776285992,0.4113101816692496,6.9752078010016415e-12
4064,relationship,LETTER,close,1.510603267389598e-05,5.8266126027884486e-05,0.01926731184147526,0.911291776285992,0.4113101816692496,6.9752078010016415e-12
4063,relationship,Last,close,1.510603267389598e-05,5.8266126027884486e-05,0.01926731184147526,0.911291776285992,0.4113101816692496,6.9752078010016415e-12
4048,relationship,Reading,close,1.510603267389598e-05,5.8266126027884486e-05,0.01926731184147526,0.911291776285992,0.4113101816692496,6.9752078010016415e-12
4062,relationship,An,close,1.510603267389598e-05,5.8266126027884486e-05,0.01926731184147526,0.911291776285992,0.4113101816692496,6.9752078010016415e-12
3133,relationship,question,good,3.3348958283486e-05,5.3358333253577586e-05,0.014887474259295022,0.964928887176529,0.2620889197260718,6.9431126553770765e-12
3787,relationship,Server,close,1.3353754717187274e-05,5.150733962343662e-05,0.017032331515820877,0.8055832473699065,0.5922377296396798,6.9381340559191126e-12
3279,relationship,relatives,close,1.5556946819441973e-05,4.200375641249333e-05,0.013889707939833988,0.656945645802959,0.7538099843246607,6.8417546761912094e-12
3298,relationship,choice,good,4.2354931150317673e-05,5.421431187240662e-05,0.01512630030346254,0.9804083530022016,0.1963941233069564,6.8214882652752964e-12
4492,relationship,times,better,3.353249828549095e-05,2.4387271480357043e-05,0.027217107752811023,0.9525987713483857,0.30300958425757807,6.744153743759551e-12
2681,relationship,works,good,2.082813410265967e-05,4.7607163663222094e-05,0.013282844129070387,0.8609250824397471,0.5085583209207223,6.698144524383249e-12
3275,relationship,practice,good,3.166789951198226e-05,5.333540970439117e-05,0.014881078374573087,0.9645143390926999,0.26361077243439845,6.6257104278103464e-12
3276,relationship,option,good,3.167332386614862e-05,5.334454545877662e-05,0.014883627335531188,0.9646795495251694,0.26300540016587703,6.613892223449793e-12
3378,relationship,things,good,0.00031437579973550984,5.527486588756217e-05,0.015422204797446368,0.9995873479826348,0.024231951319991625,6.4939906438160234e-12
3281,relationship,run,good,2.990851741769823e-05,5.317069763146352e-05,0.014835122164991875,0.9615356958791029,0.2742790932225725,6.4706971802703036e-12
3382,relationship,deal,good,0.00012417498319318538,5.51888814191935e-05,0.015398214326202555,0.9980324100316469,0.060779807968993266,6.41379958956689e-12
3395,relationship,condition,good,9.993593649898571e-05,5.513706841323349e-05,0.015383758012718013,0.9970954267502414,0.07459247224668265,6.322994428407784e-12
3349,relationship,advice,good,3.8972534718436554e-05,5.42226569995639e-05,0.01512862867202597,0.9805592657794608,0.19563907183789667,6.254528915239015e-12
3993,relationship,Salisbury,close,1.2242071803191477e-05,5.508932311436165e-05,0.01821681378082748,0.8616060572012998,0.5072505758547773,6.231854804651413e-12
3350,relationship,performance,good,3.721283511800246e-05,5.412776017163993e-05,0.015102151569072006,0.9788431572546669,0.20405390023003897,6.207211445929002e-12
2854,relationship,investment,good,1.97615367354057e-05,4.864378273330632e-05,0.013572070549416613,0.8796712393140397,0.4753885851258603,6.202159231692429e-12
3946,relationship,Results,close,1.2004195141596572e-05,5.401887813718458e-05,0.017862841437196103,0.8448641220295454,0.5346826452587508,6.19334450629746e-12
4493,relationship,performance,better,2.68587417836511e-05,2.3874437141023197e-05,0.026644765435457747,0.9325667902410211,0.3600128288312349,6.151041876138023e-12
2171,relationship,schools,good,1.9323214641450136e-05,4.122285790176029e-05,0.01150156308276149,0.7454716812900964,0.6664380574130349,6.105681290279967e-12
3421,relationship,food,good,0.00012246732178486331,5.519653939599474e-05,0.015400350973386882,0.9981708964232238,0.05846086450482526,6.085943585598119e-12
4463,relationship,judgment,better,2.241116045006643e-05,2.241116045006643e-05,0.025011693879993847,0.8754092857997846,0.4827349132808237,6.0642975794494576e-12
1965,relationship,behind,close,2.2501528601804323e-05,3.0377063612435836e-05,0.010045019247873661,0.47510226172375425,0.8798732505674886,6.041276327295309e-12
2391,relationship,second,close,1.8776648699303913e-05,3.379796765874705e-05,0.011176236123498776,0.5286057625979151,0.8487938725035208,6.020138341307447e-12
3035,relationship,case,good,2.0420624844050586e-05,5.0266153462278356e-05,0.014024727163554488,0.9090100939340872,0.41653805733719196,5.996444080945767e-12
3431,relationship,reason,good,0.0001899336729422397,5.5253432128651555e-05,0.01541622457815156,0.9991997411764899,0.03690769736585674,5.971125590630916e-12
1543,relationship,man,good,2.2760746765346004e-05,3.468304269005105e-05,0.009676893444709416,0.6272060566015362,0.778793245075126,5.949244698149796e-12
3097,relationship,word,good,2.060517641213064e-05,5.0720434245244644e-05,0.014151475752772267,0.9172252802722765,0.3981174675473645,5.888060512189032e-12
2113,relationship,citizens,good,1.8798874585777116e-05,4.0104265782991184e-05,0.011189465414798655,0.7252431287369497,0.6884019161230026,5.807294213289863e-12
4521,relationship,position,better,7.313215169580966e-05,2.5437270155064224e-05,0.028388945573734628,0.9936130950807119,0.10921116727685401,5.767600423149136e-12
2833,relationship,progress,good,1.7780821684544847e-05,4.7415524492119596e-05,0.013229375007137688,0.8574594912033685,0.5143813779850427,5.7371598504941205e-12
2810,relationship,field,good,1.7647552883715338e-05,4.7060141023240896e-05,0.013130219693946645,0.8510327579409861,0.5249484162430196,5.7243520976932986e-12
2965,relationship,result,good,1.8360040686987962e-05,4.896010849863457e-05,0.01366032839784857,0.8853916554161109,0.4646450357137136,5.705562306569991e-12
3425,relationship,shot,good,3.735991764318332e-05,5.434169839008483e-05,0.015161842333868606,0.9827120031211132,0.18451892344675222,5.679786434747046e-12
4523,relationship,deal,better,6.993048061626233e-05,2.542926567864084e-05,0.028380012278450016,0.9933004297457505,0.11202154093326344,5.653461691600497e-12
2691,relationship,decision,good,1.7146412409999693e-05,4.572376642666585e-05,0.012757358676854196,0.8268658401664755,0.5622545062342463,5.623529447511104e-12
4517,relationship,choices,better,3.7497110952303765e-05,2.4998073968202508e-05,0.027898786190711105,0.9764575166748886,0.21389804540307916,5.5936653598053066e-12
